96,Cm,Curium,247.000,1944,102
2,He,Helium,4.003,1895,18
3,Li,Lithium,6.941,1817,1
35,Br,Bromine,79.904,1826,17
4,Be,Beryllium,9.012,1797,2
5,B,Boron,10.811,1808,13
6,C,Carbon,12.011,1000,14
8,O,Oxygen,15.999,1774,16
10,Ne,Neon,20.180,1898,18
77,Ir,Iridium,196.967,1000,11
13,Al,Aluminum,26.982,1825,13
18,Ar,Argon,39.948,1894,18
50,Sn,Tin,118.710,1000,14
83,Bi,Bismuth,208.980,1000,15
85,At,Astatine,210.000,1940,17
56,Ba,Barium,137.327,1808,2
27,Co,Cobalt,58.933,1735,9
29,Cu,Copper,63.546,1000,11
